shipment_id,origin,destination,route_id,carrier_id,cargo_type,cargo_value,priority,eta,status
SH001,Shanghai,Rotterdam,R001,C001,Electronics,2500000,HIGH,2026-10-15,IN_TRANSIT
SH002,Shenzhen,Los Angeles,R002,C002,Textiles,800000,MEDIUM,2026-10-08,IN_TRANSIT
SH003,Mumbai,Hamburg,R003,C003,Pharmaceuticals,4500000,CRITICAL,2026-10-20,IN_TRANSIT
SH004,Singapore,New York,R004,C001,Machinery,1200000,MEDIUM,2026-10-12,IN_TRANSIT
SH005,Tokyo,Seattle,R005,C004,Automotive Parts,3200000,HIGH,2026-09-28,IN_TRANSIT
SH006,Ho Chi Minh City,Felixstowe,R006,C002,Furniture,600000,LOW,2026-10-25,IN_TRANSIT
SH007,Busan,Long Beach,R007,C005,Consumer Goods,950000,MEDIUM,2026-10-05,IN_TRANSIT
SH008,Colombo,Antwerp,R008,C003,Spices,350000,LOW,2026-10-18,IN_TRANSIT
SH009,Shanghai,Rotterdam,R001,C004,Medical Equipment,5000000,CRITICAL,2026-10-22,IN_TRANSIT
SH010,Shenzhen,Los Angeles,R002,C001,Electronics,1800000,HIGH,2026-09-30,DELAYED
SH011,Mumbai,Hamburg,R003,C005,Chemicals,2100000,HIGH,2026-10-14,IN_TRANSIT
SH012,Singapore,New York,R004,C002,Textiles,450000,LOW,2026-10-10,IN_TRANSIT
SH013,Tokyo,Seattle,R005,C003,Automotive Parts,2800000,MEDIUM,2026-09-10,DELIVERED
SH014,Ho Chi Minh City,Felixstowe,R006,C001,Electronics,1500000,MEDIUM,2026-10-28,IN_TRANSIT
SH015,Busan,Long Beach,R007,C004,Perishable Goods,700000,HIGH,2026-10-03,IN_TRANSIT
